id,hero,name,type,subtype,cost,T_req,S_req,R_req,M_req,effect_text,timing,rarity,faction,set_code,flavor,visual_prompt
X-01-165,Doctor Boon,Doctor Boon Card 1,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-166,Doctor Boon,Doctor Boon Card 2,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-167,Doctor Boon,Doctor Boon Card 3,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-168,Doctor Boon,Doctor Boon Card 4,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-169,Doctor Boon,Doctor Boon Card 5,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-170,Doctor Boon,Doctor Boon Card 6,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-171,Doctor Boon,Doctor Boon Card 7,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-172,Doctor Boon,Doctor Boon Card 8,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-173,Doctor Boon,Doctor Boon Card 9,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-174,Doctor Boon,Doctor Boon Card 10,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-175,Doctor Boon,Doctor Boon Card 11,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-176,Doctor Boon,Doctor Boon Card 12,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-177,Doctor Boon,Doctor Boon Card 13,Ally,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for Doctor Boon / The Freeborn. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-178,Doctor Boon,Doctor Boon Card 14,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-179,Doctor Boon,Doctor Boon Card 15,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-180,Doctor Boon,Doctor Boon Card 16,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-181,Doctor Boon,Doctor Boon Card 17,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-182,Doctor Boon,Doctor Boon Card 18,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-183,Doctor Boon,Doctor Boon Card 19,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-184,Doctor Boon,Doctor Boon Card 20,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-185,Doctor Boon,Doctor Boon Card 21,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-186,Doctor Boon,Doctor Boon Card 22,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-187,Doctor Boon,Doctor Boon Card 23,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-188,Doctor Boon,Doctor Boon Card 24,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-189,Doctor Boon,Doctor Boon Card 25,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-190,Doctor Boon,Doctor Boon Card 26,Action,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for Doctor Boon / The Freeborn. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-191,Doctor Boon,Doctor Boon Card 27,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
